coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
7103.071539885138,5011.179492543063,3951.5329430200595,3400
7127.589547876509,5028.534179815757,3965.453094294769,3410
7151.897851807856,5045.740431359789,3979.2541856426083,3420
7176.417309921899,5063.096145079064,3993.1751602275544,3430
7200.929536535392,5080.446740094136,4007.092029112656,3440
7225.247777736324,5097.66002557853,4020.898762366475,3450
7249.761334984937,5115.011562462794,4034.816386722501,3460
7274.283600205566,5132.369263148423,4048.738955048192,3470
7298.603908729117,5149.5840119546965,4062.546862028832,3480
7323.119447245773,5166.936951248459,4076.4656112540106,3490
7347.643774805772,5184.296111728653,4090.389350477273,3500
7371.957904412631,5201.5064868856925,4104.1937493647965,3510
7396.42684226629,5218.82644063131,4118.086040964272,3520
7421.001676533932,5236.221351492067,4132.038455478409,3530
7445.471974065431,5253.54226766431,4145.931519037874,3540
7469.788526166505,5270.754357545871,4159.7372933016495,3550
7494.316876870154,5288.116365745175,4173.663316673291,3560
7518.643068155441,5305.335278572044,4187.474563604441,3570
7543.164276800269,5322.69223137707,4201.39653205697,3580
7567.637737779155,5340.015386745912,4215.291391670429,3590
7592.014141669935,5357.269841777751,4229.13114691533,3600
7616.488848341128,5374.593878890348,4243.026713773251,3610
7641.012462984953,5391.952534744014,4256.950048236837,3620
7665.342377177974,5409.174082772711,4270.763408856784,3630
7689.818920766176,5426.499420118192,4284.660018628251,3640
7714.344319576805,5443.859338866336,4298.5843660563405,3650
7738.676046063278,5461.082169698518,4312.398755609756,3660
7763.202595606383,5478.442902974591,4326.323756368662,3670
7787.681544126991,5495.769942613742,4340.221731545626,3680
7812.209232581776,5513.131482050579,4354.1473789240645,3690
7836.543322936013,5530.355986109469,4367.96311056844,3700
7861.024038270716,5547.684276360256,4381.862088857871,3710
7885.553424760905,5565.047017724812,4395.788700299527,3720
7909.889250709296,5582.272750296792,4409.605417331181,3730
7934.419728675744,5599.6362642456925,4423.5326484608095,3740
7958.902750362427,5616.966187011542,4437.43293618649,3750
7983.231247559048,5634.1867320415695,4451.245492303713,3760
8007.77239331361,5651.557797016911,4465.178780092771,3770
8032.053993782968,5668.745146934347,4478.964710493172,3780
8056.587199072399,5686.110591376029,4492.893490066234,3790
8081.072995409217,5703.442478134444,4506.795353105443,3800
8105.404084230983,5720.664857605668,4520.609380623362,3810
8129.948055392177,5738.037922500762,4534.544272543055,3820
8154.426262386032,5755.364437261836,4548.441826716626,3830
8178.768135020361,5772.594449885586,4562.261976767104,3840
8203.256629225705,5789.928246287908,4576.165371526915,3850
8227.793471905094,5807.296265399002,4590.0962162358755,3860
8252.243897409127,5824.603115468394,4603.97799740941,3870
8276.691180654261,5841.907741339124,4617.857994558758,3880
8301.137275731566,5859.211526183899,4631.73731712329,3890
8325.582190249916,5876.514475388541,4645.61596942296,3900
8350.025931763033,5893.816594299834,4659.493955746411,3910
8374.468507769814,5911.117888225753,4673.371280351155,3920
8398.909925714626,5928.4183624356765,4687.24794746375,3930
8423.35019298763,5945.718022160614,4701.123961279973,3940
8447.789316925084,5963.016872593423,4714.999325965003,3950
8472.22730480968,5980.314918889039,4728.874045653602,3960
8496.664163870846,5997.612166164703,4742.748124450292,3970
8521.12460403897,6014.926104956943,4756.635591470702,3980
8545.559290653371,6032.221814500249,4770.508436856113,3990
8569.992869204398,6049.5167397182795,4784.380653136182,4000
8594.425346718861,6066.810885584856,4798.252244300399,4010
8618.856730171861,6084.10425703719,4812.123214308887,4020
8643.435150388017,6101.50170615534,4826.077664752933,4030
8778.002643116835,6118.793538480832,4839.947400231629,4040
8802.742017814693,6136.084610846468,4853.816526148425,4050
8827.480312053896,6153.374928047959,4867.685046349948,4060
8852.217532645209,6170.664494845542,4881.552964654373,4070
8877.10367493341,6188.058147371615,4895.504369861404,4080
8901.714529200013,6205.259393049856,4909.301446016807,4090
8926.448627167822,6222.546777354568,4923.167613749156,4100
8951.331664493577,6239.938259731594,4937.117278285063,4110
8976.063665405303,6257.2241783424915,4950.982270388066,4120
9000.794631782923,6274.509373887251,4964.846682521529,4130
9025.524570100813,6291.793850891005,4978.710518315047,4140
9050.403452238643,6309.18242908569,4992.657853413559,4150
9075.131344225016,6326.465475848511,5006.520542014401,4160
9099.85822712833,6343.747817333677,5020.382664913799,4170
9124.584107235478,6361.029457935278,5034.244225636241,4180
9149.458931885723,6378.4152002332485,5048.189286069088,4190
9174.182814963384,6395.695445052548,5062.049727238036,4200
9198.932222094463,6412.993529379115,5075.924477431165,4210
9223.654194103223,6430.2724384964795,5089.783847236929,4220
9248.375193438926,6447.550667784203,5103.642671753039,4230
9273.095226120658,6464.8282214492,5117.500954353849,4240
9297.96421272635,6482.209883367126,5131.442741924064,4250
9322.682318916317,6499.4860905506985,5145.299944515489,4260
9347.399476111217,6516.761634453868,5159.156615091361,4270
9372.265585117459,6534.141285133397,5173.0967894522855,4280
9396.980850318498,6551.415506666735,5186.952399358622,4290
9421.695183803637,6568.689076996587,5200.80748693627,4300
9446.558465203922,6586.066751379631,5214.746076114723,4310
9471.298086200473,6603.357995890627,5228.615340108881,4320
9496.009693015789,6620.62966047121,5242.468899089807,4330
9520.720390195638,6637.900689280968,5256.3219481205415,4340
9545.580044206326,6655.2758283753565,5270.258503750303,4350
9570.288926287714,6672.545588559726,5284.110535219785,4360
9594.99691516878,6689.814724460273,5297.962065952774,4370
9619.853853011067,6707.187965145145,5311.897098873009,4380
9644.560058945975,6724.455854892488,5325.747630069627,4390
9669.415212175385,6741.827848259237,5339.681662519113,4400
9694.119656140221,6759.094506514175,5353.531205938753,4410
9718.823233481919,6776.360559060861,5367.38026352132,4420
9743.553675758478,6793.645388296064,5381.244381838802,4430
9768.405383336984,6811.014973396645,5395.176482624015,4440
9793.106419956353,6828.279250158205,5409.024115853771,4450
9817.956402299304,6845.647629441209,5422.955249455719,4460
9842.655737568715,6862.910717079535,5436.801928892703,4470
9867.504014143997,6880.277904151637,5450.732106225268,4480
9892.201667903082,6897.539816533228,5464.577842991761,4490
9916.898495283176,6914.801151334379,5478.423116482427,4500
10412.222145669477,7260.997334052865,5756.106209150467,4700
10907.4009255533,7607.092262541098,6033.708086053558,4900
11402.583409302808,7953.189779769359,6311.312039378554,5100
11897.79247315841,8299.305874610982,6588.930893760782,5300
12393.040636959035,8645.449297547482,6866.571667939592,5500
12888.249707449551,8991.565397026441,7144.190526041415,5700
13407.448960293605,9354.448936434905,7435.258505792096,5900
13984.91573105561,9758.057347881972,7758.99180359276,6100
14562.173740668148,10161.519850057415,8082.608067931427,6300
15139.753341185085,10565.207121519392,8406.4046191529,6500
