,coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,revenu net imposable,tx prelevement total
348,7347.643774805772,5184.296111728653,4090.389350477273,3500,24.52432755999962,10.0,0.5922416231175085,44176.20498515455,0.5236568201630707
349,7371.957904412631,5201.5064868856925,4104.1937493647965,3510,24.31412960685884,10.0,0.5887165133322695,44325.2924931398,0.5238713994963238
350,7396.42684226629,5218.82644063131,4118.086040964272,3520,24.468937853658645,10.0,0.5913185909495953,44475.32924241414,0.5240945290115977
351,7421.001676533932,5236.221351492067,4132.038455478409,3530,24.574834267642473,10.0,0.593079656566924,44626.015319166814,0.5243229750018426
352,7445.471974065431,5253.54226766431,4145.931519037874,3540,24.470297531498545,10.0,0.5913412990942245,44776.060405609045,0.5245432375098897
353,7469.788526166505,5270.754357545871,4159.7372933016495,3550,24.316552101074194,10.0,0.5887574867343859,44925.16276765782,0.524752275440673
354,7494.316876870154,5288.116365745175,4173.663316673291,3560,24.528350703649267,10.0,0.5923085037057862,45075.56382007155,0.5249733820320178
355,7518.643068155441,5305.335278572044,4187.474563604441,3570,24.326191285286768,10.0,0.5889204404123752,45224.72528692796,0.5251802795213907
356,7543.164276800269,5322.69223137707,4201.39653205697,3580,24.52120864482822,10.0,0.5921897592878602,45375.08254621527,0.525398112962933
357,7567.637737779155,5340.015386745912,4215.291391670429,3590,24.47346097888567,10.0,0.5913941224484989,45525.147030040636,0.5256115416204445
358,7592.014141669935,5357.269841777751,4229.13114691533,3600,24.37640389078024,10.0,0.589767217313697,45674.616386685564,0.5258175323672216
359,7616.488848341128,5374.593878890348,4243.026713773251,3610,24.474706671192507,10.0,0.5914149193146281,45824.688508751104,0.5260283219890411
360,7641.012462984953,5391.952534744014,4256.950048236837,3620,24.523614643825567,10.0,0.5922297693371337,45975.060520957835,0.5262407936727993
361,7665.342377177974,5409.174082772711,4270.763408856784,3630,24.329914193021068,10.0,0.588983342864873,46124.24481565327,0.5264399394855995
362,7689.818920766176,5426.499420118192,4284.660018628251,3640,24.47654358820182,10.0,0.5914455828305677,46274.32820118511,0.5266468511800368
363,7714.344319576805,5443.859338866336,4298.5843660563405,3650,24.525398810628758,10.0,0.5922594336909937,46424.711153408476,0.526855446322594
364,7738.676046063278,5461.082169698518,4312.398755609756,3660,24.33172648647269,10.0,0.589013956508202,46573.90656058537,0.527050883353378
365,7763.202595606383,5478.442902974591,4326.323756368662,3670,24.52654954310492,10.0,0.5922785639934716,46724.296568781545,0.5272569593794896
366,7787.681544126991,5495.769942613742,4340.221731545626,3680,24.478948520608355,10.0,0.5914857212277238,46874.39470069277,0.52745884906205
367,7812.209232581776,5513.131482050579,4354.1473789240645,3690,24.527688454784766,10.0,0.5922974960141734,47024.7916923799,0.5276624204315468
368,7836.543322936013,5530.355986109469,4367.96311056844,3700,24.33409035423756,10.0,0.589053880608338,47174.001594139154,0.5278530536326098
369,7861.024038270716,5547.684276360256,4381.862088857871,3710,24.480715334702836,10.0,0.5915152043852077,47324.11055966501,0.5280513096082411
370,7885.553424760905,5565.047017724812,4395.788700299527,3720,24.5293864901887,10.0,0.5923257190309339,47474.51796323489,0.5282512463463789
371,7909.889250709296,5582.272750296792,4409.605417331181,3730,24.335825948391175,10.0,0.589083188661567,47623.73850717676,0.5284384039048937
372,7934.419728675744,5599.6362642456925,4423.5326484608095,3740,24.530477966448416,10.0,0.5923438583757924,47774.152603376744,0.5286359774384904
373,7958.902750362427,5616.966187011542,4437.43293618649,3750,24.48302168668215,10.0,0.5915536845094727,47924.275710814094,0.5288295236640208
374,7983.231247559048,5634.1867320415695,4451.245492303713,3760,24.328497196621356,10.0,0.5889594034855239,48073.4513168801,0.5290127664597393
375,8007.77239331361,5651.557797016911,4465.178780092771,3770,24.54114575456242,10.0,0.5925210623819017,48223.93082500194,0.529207398158831
376,8032.053993782968,5668.745146934347,4478.964710493172,3780,24.281600469357727,10.0,0.5881655324730533,48372.81887332626,0.5293856337462591
377,8056.587199072399,5686.110591376029,4492.893490066234,3790,24.533205289430953,10.0,0.5923891769532431,48523.249692715326,0.529577486552077
378,8081.072995409217,5703.442478134444,4506.795353105443,3800,24.485796336817657,10.0,0.5915999683063742,48673.38981353878,0.5297654157859055
379,8105.404084230983,5720.664857605668,4520.609380623362,3810,24.33108882176657,10.0,0.5890031854614739,48822.58131073231,0.52994323781928
380,8129.948055392177,5738.037922500762,4534.544272543055,3820,24.54397116119344,10.0,0.5925679697745475,48973.07814346499,0.5301322992504989
381,8154.426262386032,5755.364437261836,4548.441826716626,3830,24.478206993855565,10.0,0.5914733459640175,49123.17172853956,0.5303164346869305
382,8178.768135020361,5772.594449885586,4562.261976767104,3840,24.341872634328865,10.0,0.5891852631790868,49272.42934908473,0.5304916416987483
383,8203.256629225705,5789.928246287908,4576.165371526915,3850,24.488494205344068,10.0,0.5916449612562245,49422.58601249068,0.5306741975761647
384,8227.793471905094,5807.296265399002,4590.0962162358755,3860,24.536842679388428,10.0,0.59244960198566,49573.039135347455,0.5308584235639253
385,8252.243897409127,5824.603115468394,4603.97799740941,3870,24.450425504033774,10.0,0.591009162668755,49722.96237202163,0.5310366431104849
386,8276.691180654261,5841.907741339124,4617.857994558758,3880,24.447283245133804,10.0,0.5909565942469094,49872.866341234585,0.5312136317144442
387,8301.137275731566,5859.211526183899,4631.73731712329,3890,24.446095077304562,10.0,0.590936713271484,50022.76302493153,0.5313895107634898
